p_id,Gender,age,vintage (days),has_passed_logical_ability,has_passed_reading_comprehension,has_passed_general_awareness,has_passed_attention_to_detail,has_passed_pattern_recog,Life Time Earnings in Rs.,qualifiers_rejects,qualifiers_approved,qualifiers_re_attempts,voice_rejects,voice_approved,voice_re_attempts,sd_rejects,sd_approved,sd_re_attempts,ts_rejects,ts_approved,ts_re_attempts,other_data_rejects,other_data_approved,other_data_re_attempts,lives,Q Score Qualifiers,Q Score voice,Q Score Sd,Q Score ts,Q score other data,P Score Qualifiers,P Score voice,P Score Sd,P Score ts,P score other data,Q_logical_ability,Q_reading_comprehension,Q_general_awareness,Q_attention_to_detail,Q_pattern_recog,Average Q Score
1254,2,19,852,FALSE,FALSE,TRUE,TRUE,TRUE,28963.98,21,97,79,0,21,0,4,1911,169,0,77,0,76,6404,905,5,0.370558376,2,1.749040307,2,1.591198375,37.05583756,100,93.72600768,100,89.77995938,0,0,100,100,100,72.05618046
1634,1,21,837,TRUE,TRUE,TRUE,FALSE,TRUE,15138.81,10,62,89,1,55,0,3,1880,233,4,199,7,37,3996,749,5,0.093167702,1.928571429,1.663988658,1.823809524,1.49916353,9.316770186,98.21428571,91.59971645,95.5952381,87.47908825,100,100,100,0,100,78.22050987
2287,1,22,815,FALSE,FALSE,TRUE,TRUE,TRUE,8980.44,14,98,71,0,2,0,0,23,3,8,131,3,51,1793,394,5,0.530054645,2,1.653846154,1.711267606,1.380697051,51.50273224,100,91.34615385,92.78169014,84.51742627,0,0,100,100,100,72.01480025
4055,1,19,758,FALSE,FALSE,FALSE,FALSE,TRUE,787.25,9,10,24,1,1,0,0,0,0,2,160,4,12,186,35,5,-0.511627907,0,#DIV/0!,1.879518072,1.343347639,0,0,#DIV/0!,96.98795181,83.58369099,0,0,0,0,100,#DIV/0!
4392,1,20,755,FALSE,FALSE,FALSE,FALSE,TRUE,13861.5,35,73,105,1,1,2,0,1230,155,5,539,21,81,3370,770,5,-0.136150235,-0.5,1.664259928,1.853097345,1.375977257,0,0,91.60649819,96.32743363,84.39943141,0,0,0,0,100,37.23333632
4638,1,18,755,TRUE,TRUE,TRUE,TRUE,TRUE,7220.11,15,80,66,0,13,2,0,83,16,0,0,0,41,1376,428,5,0.397515528,1.6,1.515151515,#DIV/0!,1.215176152,39.7515528,90,87.87878788,#DIV/0!,80.37940379,100,100,100,100,100,#DIV/0!
6162,1,18,747,TRUE,TRUE,TRUE,TRUE,TRUE,42005.39,20,153,115,2,174,22,20,6427,688,2,468,20,115,11410,2205,5,0.524305556,1.626262626,1.69950946,1.86122449,1.484705025,51.21527778,90.65656566,92.48773651,96.53061224,87.11762564,100,100,100,100,100,91.80078178
8133,1,20,700,TRUE,TRUE,FALSE,TRUE,TRUE,47162.43,19,136,112,0,3,0,6,3798,349,1,841,29,48,11097,1141,5,0.456928839,2,1.742114134,1.895522388,1.705762657,45.6928839,100,93.55285336,97.3880597,92.64406642,100,100,0,100,100,82.92778634
8163,1,18,700,TRUE,TRUE,TRUE,TRUE,TRUE,3077.95,17,46,60,0,7,5,1,24,8,0,308,13,43,639,208,5,-0.016260163,0.75,1.151515152,1.878504673,1.105617978,0,62.5,78.78787879,96.96261682,77.64044944,100,100,100,100,100,81.5890945
8104,1,18,700,FALSE,FALSE,FALSE,FALSE,FALSE,15,7,4,6,0,0,0,0,0,0,0,0,0,9,7,6,1,-0.705882353,#DIV/0!,#DIV/0!,#DIV/0!,-0.454545455,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,#DIV/0!
